Message,preprocess_message,Label
estoy hasta el ojete de que me digáis que tengo cara de mala leche,estoy hasta el ojete de que me digáis que tengo cara de mala leche ,-1
@user Por?  Tenía pensado verla después de la segunda de Daredevil,  por    tenía pensado verla después de la segunda de daredevil ,0
Esto de estar feliz mola,esto de estar feliz mola ,1
Ya no es tan divertido,ya no es tan divertido ,-1
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",  te recuerdo que soy una persona que tiene criterio  equivocado  pero lo tengo ,0
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,      con una pequeña donación hará felices a miles de chicas que no tienen    ,1
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,he probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta  ,-1
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,  ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy  siento mucho lo de tu primo ,0
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,  aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español  os llevareis bien     ,1
"@user ya somos dos, que triste",  ya somos dos  que triste ,-1
JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,juas ahora dicen que la paja se la van a hacer con tracer y su novia  porque siempre se puede caer más bajo aún  no  ,0
#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico, llevo como unos 8 meses talvez menos o mas no sé me enseñaron y demostraron que lh es algo magico ,1
"🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...",🌼 severus snape 🌼   -pobresito   -nunca le odié  me parecía muy estricto e injusto pero sabía que algo pasaba  ,-1
"@user es chevre las letras!! sabes q dia es mañana,....",  es chevre las letras   sabes q dia es mañana   ,0
Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,se echa de menos        escuela superior de arte y tecnología  esat  http ,1
"Esta ceniza me tiene harta, me arden los ojos",esta ceniza me tiene harta  me arden los ojos ,-1
¿Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?, aprender motion graphics en  sin que me cueste un riñón es posible   alguien conoce algún sitio  ,0
@user No. tampoco soy cursi,  no  tampoco soy cursi ,1
En fin estoy hasta los huevos del 90% de las personas así que.,en fin estoy hasta los huevos del 90% de las personas así que  ,-1
"@user jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio",  jajajajaja   qué linda  yo también me puse re feliz cuando me enteré  nos dejan un álbum antes que top se vaya al servicio ,0
@user     Ya está preparando cosillas nuevas jeje,       ya está preparando cosillas nuevas jeje ,1
"@user Jo, yo que me había ilusionado",  jo  yo que me había ilusionado ,-1
Si la U cerró todo... entonces yo estoy libre hasta el lunes,si la u cerró todo  entonces yo estoy libre hasta el lunes ,0
Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...,hoy toca escuchar a  con otros grandes artistas      ,1
"@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia",    qué tendrá brozas  jaajajaja que me descontrola  será la mala influencia ,-1
@user Katy le dió like en instagram y en mis Rt hace dos días los vieron juntos,  katy le dió like en instagram y en mis rt hace dos días los vieron juntos ,0
"Voy a jugar mi primera ranked de 10. Hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela",voy a jugar mi primera ranked de 10  hmm no se si la liaré o no  pero bronce v me espera y mañana jugaré poco o nada  so a jugársela ,1
